Date,T_degC,PO4uM,SiO3uM,NO2uM,NO3uM,Salnty,O2ml_L
01/21/2016,18.530,0.230,1.500,0.030,0.000,33.447,5.540
04/08/2019,21.340,0.230,1.900,0.000,0.000,34.249,5.450
01/13/2000,16.570,0.240,4.000,0.000,0.000,33.610,5.890
07/10/2001,17.070,0.240,3.000,0.000,0.000,33.650,5.800
07/12/2015,17.350,0.240,2.000,0.010,0.000,33.426,5.900
10/30/2015,19.310,0.240,2.000,0.020,0.000,33.456,5.240
11/08/2015,17.100,0.240,2.000,0.010,0.000,33.427,5.930
01/07/2016,14.700,0.240,1.900,0.000,0.000,33.358,5.910
01/22/2016,19.300,0.240,2.000,0.030,0.000,33.460,5.380
01/23/2016,19.300,0.240,2.000,0.030,0.000,33.460,5.360
01/24/2016,19.310,0.240,2.000,0.020,0.000,33.456,5.240
04/03/2016,14.860,0.240,1.000,0.010,0.000,33.192,6.130
04/04/2016,18.500,0.240,1.000,0.000,0.000,33.352,5.500
07/20/2016,17.440,0.240,4.000,0.000,0.000,33.414,5.920
07/26/2016,14.770,0.240,1.000,0.010,0.000,33.193,6.120
11/20/2016,14.090,0.240,2.000,0.000,0.000,33.174,6.090
04/09/2017,19.910,0.240,5.000,0.020,0.000,33.631,5.380
04/13/2017,15.810,0.240,1.000,0.000,0.000,33.636,6.220
04/15/2017,20.390,0.240,2.000,0.000,0.000,33.535,5.450
04/16/2017,18.700,0.240,1.000,0.000,0.000,33.437,5.690
04/17/2017,19.800,0.240,1.700,0.000,0.000,33.489,5.530
04/18/2017,20.390,0.240,1.900,0.000,0.000,33.537,5.450
02/10/2019,25.260,0.240,1.000,0.080,0.000,34.403,4.800
07/14/2019,17.480,0.240,2.300,0.000,0.000,33.473,6.070
07/23/2019,18.820,0.240,1.000,0.000,0.000,33.530,5.480
01/23/2008,15.770,0.250,1.000,0.000,0.000,33.604,6.530
10/19/2008,16.670,0.250,1.000,0.000,0.000,33.500,6.360
10/25/2008,19.180,0.250,1.000,0.000,0.000,33.640,5.440
01/23/2009,17.500,0.250,1.000,0.000,0.000,33.560,5.870
07/20/2009,18.570,0.250,2.000,0.000,0.000,33.550,5.620
07/20/2009,18.690,0.250,2.000,0.000,0.100,33.540,5.550
07/22/2009,16.050,0.250,2.000,0.000,0.000,33.090,5.840
07/23/2009,18.690,0.250,2.000,0.000,0.000,33.540,5.510
07/26/2009,16.370,0.250,2.000,0.000,0.000,33.130,5.990
07/28/2009,16.370,0.250,2.000,0.000,0.000,33.130,6.010
10/29/2012,20.300,0.250,0.000,0.010,0.100,33.590,5.670
10/30/2012,20.310,0.250,0.000,0.010,0.100,33.594,5.660
10/31/2012,20.350,0.250,0.000,0.000,0.100,33.620,5.620
11/02/2012,20.350,0.250,0.000,0.000,0.100,33.620,5.620
04/02/2016,18.140,0.250,1.000,0.000,0.000,33.311,5.540
04/13/2018,19.620,0.250,2.000,0.380,0.600,34.102,4.820
10/29/2018,25.410,0.250,0.000,0.030,0.000,34.545,4.780
02/09/2019,24.940,0.250,1.000,0.080,0.000,34.310,4.860
02/11/2019,25.270,0.250,1.100,0.080,0.000,34.403,4.800
07/24/2019,15.010,0.250,1.900,0.000,0.300,33.745,5.520
07/18/2014,16.230,0.260,3.000,0.030,0.000,33.540,6.200
01/19/2016,15.480,0.260,1.000,0.040,0.000,33.445,5.950
01/20/2016,15.630,0.260,1.000,0.040,0.000,33.444,5.970
04/01/2016,17.360,0.260,1.000,0.000,0.000,33.267,5.670
04/05/2016,18.500,0.260,1.000,0.000,0.000,33.346,5.500
04/19/2017,20.400,0.260,1.000,0.000,0.000,33.553,5.430
04/20/2017,20.400,0.260,1.000,0.000,0.000,33.553,5.430
04/14/2018,19.460,0.260,2.000,0.400,0.600,34.100,4.810
10/24/2018,25.410,0.260,0.000,0.030,0.000,34.544,4.780
02/12/2019,24.590,0.260,1.000,0.080,0.000,34.212,4.920
10/16/2000,16.990,0.270,3.000,0.000,0.300,33.480,5.740
10/21/2000,17.350,0.270,3.000,0.000,0.300,33.440,5.780
10/23/2000,16.730,0.270,3.000,0.000,0.300,33.410,5.810
01/13/2001,16.820,0.270,2.000,0.000,0.000,33.720,5.820
01/16/2001,16.540,0.270,2.000,0.000,0.000,33.530,5.760
01/21/2001,16.540,0.270,2.000,0.000,0.000,33.490,5.750
01/22/2001,16.540,0.270,2.000,0.000,0.000,33.490,5.840
04/12/2001,16.930,0.270,3.000,0.000,1.500,33.450,5.720
08/05/2011,18.380,0.270,0.000,0.000,0.000,33.630,2.880
04/04/2015,18.000,0.270,1.000,0.010,0.000,33.642,5.960
11/07/2016,15.060,0.270,3.000,0.100,0.000,33.373,5.930
02/05/2006,12.890,0.280,1.000,0.000,0.000,33.573,7.580
02/06/2006,12.870,0.280,1.000,0.000,0.000,33.579,7.600
07/10/2006,12.350,0.280,2.100,0.010,0.000,32.931,6.470
07/07/2007,15.920,0.280,2.000,0.000,0.000,32.841,5.860
07/08/2007,16.680,0.280,2.000,0.000,0.000,32.847,5.870
11/04/2007,12.490,0.280,3.000,0.000,0.000,33.163,5.740
11/07/2007,15.970,0.280,2.000,0.000,0.000,33.075,5.610
11/08/2007,15.970,0.280,2.000,0.000,0.000,33.075,5.610
11/15/2007,13.530,0.280,2.100,0.000,0.000,33.151,6.180
08/27/2008,15.750,0.280,2.000,0.000,0.000,33.120,5.950
10/24/2008,17.600,0.280,1.000,0.000,0.000,33.620,6.000
01/22/2009,12.780,0.280,2.000,0.000,0.000,33.460,6.220
03/08/2009,15.680,0.280,2.000,0.000,0.000,33.110,5.710
03/16/2009,15.180,0.280,2.000,0.000,0.000,33.150,6.120
03/17/2009,14.650,0.280,2.000,0.000,0.000,33.160,6.120
07/15/2009,17.680,0.280,0.000,0.000,0.000,33.600,5.520
07/30/2009,15.350,0.280,2.000,0.000,0.000,33.120,6.080
07/31/2009,16.590,0.280,2.000,0.000,0.000,33.140,5.770
08/01/2009,16.580,0.280,2.000,0.000,0.000,33.140,5.760
08/02/2009,16.590,0.280,2.000,0.000,0.000,33.140,5.800
11/08/2009,17.460,0.280,3.000,0.010,0.200,33.660,5.740
11/15/2009,17.680,0.280,3.000,0.010,0.200,33.660,5.810
11/18/2009,19.890,0.280,2.000,0.000,0.000,33.660,5.530
11/19/2009,17.220,0.280,2.000,0.000,0.000,33.640,5.520
02/01/2015,17.710,0.280,0.500,0.000,0.000,33.676,5.930
04/10/2016,15.570,0.280,1.000,0.000,0.000,33.300,5.950
07/17/2016,16.220,0.280,5.000,0.010,0.000,33.426,6.050
07/25/2016,13.100,0.280,1.900,0.010,0.000,33.233,5.920
11/06/2016,14.810,0.280,3.000,0.100,0.000,33.374,5.950
04/08/2017,17.500,0.280,3.600,0.010,0.000,33.568,5.690
04/11/2017,21.130,0.280,5.000,0.030,0.000,33.717,5.230
10/23/2018,24.610,0.280,0.200,0.030,0.000,34.441,5.030
11/04/2019,13.560,0.280,3.700,0.010,0.900,33.511,5.790
01/19/2000,17.730,0.290,5.000,0.000,0.100,33.630,5.740
01/20/2000,17.050,0.290,4.000,0.000,0.100,33.630,5.770
04/08/2000,16.540,0.290,3.000,0.000,0.300,33.530,5.810
04/09/2000,16.540,0.290,3.000,0.000,0.300,33.530,6.190
01/11/2001,17.560,0.290,2.000,0.000,0.000,33.520,5.770
01/12/2001,17.060,0.290,2.000,0.000,0.000,33.670,5.770
04/12/2001,16.930,0.290,2.000,0.000,1.800,33.440,5.790
11/06/2007,15.960,0.290,2.000,0.000,0.000,33.082,5.630
08/04/2011,18.650,0.290,0.000,0.010,0.000,33.630,5.970
10/28/2011,18.390,0.290,0.000,0.000,0.100,33.610,6.280
11/05/2012,18.070,0.290,1.400,0.020,0.400,33.574,6.190
04/14/2014,18.770,0.290,0.900,0.000,0.000,33.743,6.100
